rep,size,num_streams,block_size,section,dur
0,16384,32,32,total,5.209920e-04
0,16384,32,64,total,5.182400e-04
0,16384,32,128,total,5.178880e-04
0,16384,32,256,total,5.451200e-04
0,16384,32,512,total,5.193600e-04
0,16384,32,1024,total,5.249920e-04
0,16384,64,32,total,1.009664e-03
0,16384,64,64,total,1.000256e-03
0,16384,64,128,total,9.994240e-04
0,16384,64,256,total,1.038976e-03
0,16384,64,512,total,1.001472e-03
0,16384,64,1024,total,9.982720e-04
1,16384,1,32,total,6.758400e-05
1,16384,1,64,total,6.518399e-05
1,16384,1,128,total,6.553600e-05
1,16384,1,256,total,6.499200e-05
1,16384,1,512,total,6.371200e-05
1,16384,1,1024,total,6.348800e-05
1,16384,2,32,total,7.987200e-05
1,16384,2,64,total,7.987200e-05
1,16384,2,128,total,8.003200e-05
