rep,algo,x,y,section,dur
18,v1,8,16,kernel,4.403200e-04
18,stock,16,16,total,4.498944e-03
18,stock,16,16,kernel,2.508800e-04
18,v1,16,16,total,1.952736e-03
18,v1,16,16,kernel,4.321280e-04
18,stock,24,24,total,3.793376e-03
18,stock,24,24,kernel,2.611200e-04
18,v1,24,24,total,1.983136e-03
18,v1,24,24,kernel,4.392960e-04
18,stock,16,32,total,4.919136e-03
18,stock,16,32,kernel,2.519040e-04
18,v1,16,32,total,1.963360e-03
18,v1,16,32,kernel,4.300800e-04
18,stock,32,32,total,4.453376e-03
18,stock,32,32,kernel,2.621440e-04
18,v1,32,32,total,1.985440e-03
18,v1,32,32,kernel,4.280320e-04
19,cpu,,,total,2.283841e-01
19,stock,8,4,total,4.889312e-03
19,stock,8,4,kernel,2.580480e-04
19,v1,8,4,total,1.975232e-03
19,v1,8,4,kernel,4.392960e-04
19,stock,8,8,total,2.037792e-03
19,stock,8,8,kernel,2.529280e-04
19,v1,8,8,total,4.616096e-03
19,v1,8,8,kernel,4.423680e-04
19,stock,8,16,total,4.971968e-03
19,stock,8,16,kernel,2.529280e-04
19,v1,8,16,total,1.974464e-03
19,v1,8,16,kernel,4.392960e-04
19,stock,16,16,total,2.007424e-03
19,stock,16,16,kernel,2.498560e-04
19,v1,16,16,total,5.180160e-03
19,v1,16,16,kernel,4.352000e-04
19,stock,24,24,total,2.033120e-03
19,stock,24,24,kernel,2.641920e-04
19,v1,24,24,total,1.973056e-03
19,v1,24,24,kernel,4.382720e-04
19,stock,16,32,total,2.035456e-03
19,stock,16,32,kernel,2.508800e-04
19,v1,16,32,total,5.518816e-03
19,v1,16,32,kernel,4.290560e-04
19,stock,32,32,total,2.052000e-03
19,stock,32,32,kernel,2.641920e-04
19,v1,32,32,total,3.989984e-03
19,v1,32,32,kernel,4.270080e-04
20,cpu,,,total,2.276139e-01
20,stock,8,4,total,4.421280e-03
20,stock,8,4,kernel,2.580160e-04
20,v1,8,4,total,5.676544e-03
20,v1,8,4,kernel,4.362240e-04
20,stock,8,8,total,2.061984e-03
20,stock,8,8,kernel,2.529280e-04
20,v1,8,8,total,6.922144e-03
20,v1,8,8,kernel,4.403200e-04
20,stock,8,16,total,2.021856e-03
20,stock,8,16,kernel,2.529280e-04
20,v1,8,16,total,1.999136e-03
20,v1,8,16,kernel,4.372480e-04
20,stock,16,16,total,2.038272e-03
20,stock,16,16,kernel,2.498880e-04
20,v1,16,16,total,4.890176e-03
20,v1,16,16,kernel,4.341760e-04
20,stock,24,24,total,2.341088e-03
20,stock,24,24,kernel,2.590720e-04
20,v1,24,24,total,4.669472e-03
20,v1,24,24,kernel,4.311040e-04
20,stock,16,32,total,2.222688e-03
20,stock,16,32,kernel,2.519040e-04
20,v1,16,32,total,6.891424e-03
20,v1,16,32,kernel,4.290560e-04
20,stock,32,32,total,3.769568e-03
20,stock,32,32,kernel,2.641920e-04
20,v1,32,32,total,1.993792e-03
20,v1,32,32,kernel,4.280320e-04
21,cpu,,,total,2.269763e-01
21,stock,8,4,total,2.063520e-03
21,stock,8,4,kernel,2.570240e-04
21,v1,8,4,total,1.984256e-03
21,v1,8,4,kernel,4.362240e-04
21,stock,8,8,total,2.002496e-03
21,stock,8,8,kernel,2.529280e-04
21,v1,8,8,total,1.975712e-03
21,v1,8,8,kernel,4.392960e-04
21,stock,8,16,total,6.582880e-03
21,stock,8,16,kernel,2.529280e-04
21,v1,8,16,total,4.291488e-03
21,v1,8,16,kernel,4.392960e-04
21,stock,16,16,total,2.043488e-03
21,stock,16,16,kernel,2.498560e-04
21,v1,16,16,total,4.787168e-03
21,v1,16,16,kernel,4.331520e-04
21,stock,24,24,total,2.045152e-03
21,stock,24,24,kernel,2.641920e-04
21,v1,24,24,total,3.318464e-03
21,v1,24,24,kernel,4.382720e-04
21,stock,16,32,total,2.040416e-03
21,stock,16,32,kernel,2.519040e-04
21,v1,16,32,total,1.963744e-03
21,v1,16,32,kernel,4.300800e-04
21,stock,32,32,total,5.357760e-03
21,stock,32,32,kernel,2.631680e-04
21,v1,32,32,total,1.961248e-03
21,v1,32,32,kernel,4.260160e-04
22,cpu,,,total,2.253656e-01
22,stock,8,4,total,2.041504e-03
22,stock,8,4,kernel,2.560000e-04
22,v1,8,4,total,4.592608e-03
22,v1,8,4,kernel,4.362240e-04
22,stock,8,8,total,2.043584e-03
22,stock,8,8,kernel,2.519040e-04
22,v1,8,8,total,4.040544e-03
22,v1,8,8,kernel,4.392960e-04
22,stock,8,16,total,2.079360e-03
22,stock,8,16,kernel,2.519040e-04
22,v1,8,16,total,4.406208e-03
22,v1,8,16,kernel,4.392640e-04
22,stock,16,16,total,2.025600e-03
22,stock,16,16,kernel,2.498560e-04
22,v1,16,16,total,3.330592e-03
22,v1,16,16,kernel,4.311040e-04
22,stock,24,24,total,2.055968e-03
22,stock,24,24,kernel,2.631680e-04
22,v1,24,24,total,5.437568e-03
22,v1,24,24,kernel,4.403200e-04
22,stock,16,32,total,2.024160e-03
22,stock,16,32,kernel,2.508800e-04
22,v1,16,32,total,4.811040e-03
22,v1,16,32,kernel,4.300800e-04
22,stock,32,32,total,2.064224e-03
22,stock,32,32,kernel,2.611200e-04
22,v1,32,32,total,6.738144e-03
22,v1,32,32,kernel,4.270080e-04
23,cpu,,,total,2.284743e-01
23,stock,8,4,total,2.161472e-03
23,stock,8,4,kernel,2.560000e-04
23,v1,8,4,total,5.233824e-03
23,v1,8,4,kernel,4.372480e-04
23,stock,8,8,total,5.723872e-03
23,stock,8,8,kernel,2.529280e-04
23,v1,8,8,total,1.983456e-03
23,v1,8,8,kernel,4.392960e-04
23,stock,8,16,total,3.676352e-03
23,stock,8,16,kernel,2.519040e-04
23,v1,8,16,total,1.974880e-03
23,v1,8,16,kernel,4.382720e-04
23,stock,16,16,total,4.021760e-03
23,stock,16,16,kernel,2.508800e-04
23,v1,16,16,total,1.963200e-03
23,v1,16,16,kernel,4.311040e-04
23,stock,24,24,total,4.742592e-03
23,stock,24,24,kernel,2.641920e-04
23,v1,24,24,total,1.993120e-03
23,v1,24,24,kernel,4.392960e-04
23,stock,16,32,total,3.605280e-03
23,stock,16,32,kernel,2.508800e-04
23,v1,16,32,total,2.024160e-03
23,v1,16,32,kernel,4.300800e-04
23,stock,32,32,total,2.030976e-03
23,stock,32,32,kernel,2.621440e-04
23,v1,32,32,total,3.951392e-03
23,v1,32,32,kernel,4.280320e-04
24,cpu,,,total,2.346848e-01
